Country,Country Code,Percent Above Math Benchmark (400 on TIMSS Scale),Percent Above Reading Benchmark (400 on PIRLS Scale),"Median Math Score (TIMSS Scale, 4th Grade)","Median Reading Score (PIRLS Scale, 4th Grade)"
U.A.E.,ARE,64,64,437,440
Argentina,ARG,51,66,407,431
Armenia,ARM,72,,454,
Australia,AUS,90,93,520,534
Austria,AUT,95,97,511,533
Azerbaijan,AZE,72,82,465,467
Burundi,BDI,91,43,477,392
Benin,BEN,35,35,391,394
Burkina Faso,BFA,59,45,423,395
Bulgaria,BGR,,93,,541
Bahrain,BHR,67,,439,
Brazil,BRA,59,72,411,444
Botswana,BWA,,,410,380
Canada,CAN,,98,,551
Chile,CHL,81,93,463,510
Cote d'Ivoire,CIV,29,39,360,389
Cameroon,CMR,41,46,375,390
Congo,COG,41,40,361,378
Colombia,COL,49,75,390,449
Costa Rica,CRI,71,87,428,478
Czech Republic,CZE,93,98,514,550
Germany,DEU,97,98,530,544
Denmark,DNK,97,99,541,559
Dominican Republic,DOM,12,33,304,361
Ecuador,ECU,43,67,390,431
Spain,ESP,87,94,486,518
Finland,FIN,98,99,549,571
France,FRA,,95,,524
Georgia,GEO,72,86,456,494
Guatemala,GTM,30,54,349,419
Hong Kong,HKG,99,99,606,576
Honduras,HND,43,65,376,421
Croatia,HRV,90,99,493,556
Hungary,HUN,90,95,523,545
Indonesia,IDN,,66,,432
Ireland,IRL,94,97,533,555
Iran,IRN,64,76,435,464
Israel,ISR,,93,,549
Italy,ITA,93,98,510,544
Japan,JPN,99,,588,
Kazakhstan,KAZ,88,,502,
South Korea,KOR,100,,607,
Kuwait,KWT,30,,346,394
Lithuania,LTU,96,97,537,532
Morocco,MAR,26,21,329,306
Mexico,MEX,67,75,425,444
Malta,MLT,88,78,502,487
Niger,NER,8,6,312,337
Nicaragua,NIC,25,53,341,397
Netherlands,NLD,99,100,543,548
Norway,NOR,91,95,497,510
New Zealand,NZL,85,92,492,538
Oman,OMN,46,47,390,393
Panama,PAN,37,62,349,415
Peru,PER,51,69,407,450
Poland,POL,87,95,485,531
Portugal,PRT,97,98,534,546
Paraguay,PRY,27,50,336,396
Qatar,QAT,55,60,416,429
Romania,ROU,79,86,494,512
Russia,RUS,97,99,544,571
Saudi Arabia,SAU,55,65,412,438
Senegal,SEN,56,46,426,407
Singapore,SGP,99,97,612,573
Yugoslavia,SRB,90,,520,
Slovak Republic,SVK,90,96,513,541
Slovenia,SVN,94,95,517,535
Sweden,SWE,93,98,507,545
Chad,TCD,17,8,346,341
Togo,TGO,46,27,406,374
Thailand,THA,77,,462,
Trinidad and Tobago,TTO,,78,,474
Tunisia,TUN,35,,362,
Turkey,TUR,77,,477,
Uruguay,URY,57,70,425,450
United States,USA,96,98,544,560
Yemen,YEM,9,,243,
South Africa,ZAF,,24,,323
